id,dataset,segment,type,model,result,metric
case_15,BRAIN_TUMOR_TASK1,TASK1,MUL,bayesian,0.8423631197442025,dice
case_15,BRAIN_TUMOR_TASK1,TASK1,MUL,bayesian,0.0516983585050869,ged
case_21,BRAIN_TUMOR_TASK1,TASK1,MUL,bayesian,0.9126598171297238,dice
case_21,BRAIN_TUMOR_TASK1,TASK1,MUL,bayesian,0.1018313796238053,ged
case_11,BRAIN_TUMOR_TASK1,TASK1,MUL,bayesian,0.7684592840215522,dice
case_11,BRAIN_TUMOR_TASK1,TASK1,MUL,bayesian,0.2656892745157867,ged
case_20,BRAIN_TUMOR_TASK1,TASK1,MUL,bayesian,0.9395863440785216,dice
case_20,BRAIN_TUMOR_TASK1,TASK1,MUL,bayesian,0.0769598992932773,ged
case_7,BRAIN_TUMOR_TASK1,TASK1,MUL,bayesian,0.4307831907072224,dice
case_7,BRAIN_TUMOR_TASK1,TASK1,MUL,bayesian,0.7125004629502103,ged
case_8,BRAIN_TUMOR_TASK1,TASK1,MUL,bayesian,0.8167752692804785,dice
case_8,BRAIN_TUMOR_TASK1,TASK1,MUL,bayesian,0.1539030289266634,ged
case_29,BRAIN_TUMOR_TASK1,TASK1,MUL,bayesian,0.913927682485839,dice
case_29,BRAIN_TUMOR_TASK1,TASK1,MUL,bayesian,0.0778948686300924,ged
case_15,BRAIN_TUMOR_TASK1,TASK1,SIN,probabilistic,0.7176322727404267,dice
case_15,BRAIN_TUMOR_TASK1,TASK1,SIN,probabilistic,0.226871480273937,ged
case_21,BRAIN_TUMOR_TASK1,TASK1,SIN,probabilistic,0.929016392040418,dice
case_21,BRAIN_TUMOR_TASK1,TASK1,SIN,probabilistic,0.0428398113568761,ged
case_11,BRAIN_TUMOR_TASK1,TASK1,SIN,probabilistic,0.8416634574249258,dice
case_11,BRAIN_TUMOR_TASK1,TASK1,SIN,probabilistic,0.1022858119146988,ged
case_20,BRAIN_TUMOR_TASK1,TASK1,SIN,probabilistic,0.9152091839310657,dice
case_20,BRAIN_TUMOR_TASK1,TASK1,SIN,probabilistic,0.0987694389064156,ged
case_7,BRAIN_TUMOR_TASK1,TASK1,SIN,probabilistic,0.7662071700455644,dice
case_7,BRAIN_TUMOR_TASK1,TASK1,SIN,probabilistic,0.2161456961043126,ged
case_8,BRAIN_TUMOR_TASK1,TASK1,SIN,probabilistic,0.7685328073343877,dice
case_8,BRAIN_TUMOR_TASK1,TASK1,SIN,probabilistic,0.2287109825206908,ged
case_29,BRAIN_TUMOR_TASK1,TASK1,SIN,probabilistic,0.9237877628294038,dice
case_29,BRAIN_TUMOR_TASK1,TASK1,SIN,probabilistic,0.0409588307212742,ged
case_15,BRAIN_TUMOR_TASK1,TASK1,MUL,probabilistic,0.874981871817072,dice
case_15,BRAIN_TUMOR_TASK1,TASK1,MUL,probabilistic,0.0697729924834366,ged
case_21,BRAIN_TUMOR_TASK1,TASK1,MUL,probabilistic,0.946804583904552,dice
case_21,BRAIN_TUMOR_TASK1,TASK1,MUL,probabilistic,0.0258053374903352,ged
case_11,BRAIN_TUMOR_TASK1,TASK1,MUL,probabilistic,0.8479924996437853,dice
case_11,BRAIN_TUMOR_TASK1,TASK1,MUL,probabilistic,0.1605998317401475,ged
case_20,BRAIN_TUMOR_TASK1,TASK1,MUL,probabilistic,0.974607575448024,dice
case_20,BRAIN_TUMOR_TASK1,TASK1,MUL,probabilistic,0.0087633930779992,ged
case_7,BRAIN_TUMOR_TASK1,TASK1,MUL,probabilistic,0.7625519180983278,dice
case_7,BRAIN_TUMOR_TASK1,TASK1,MUL,probabilistic,0.3126246410582539,ged
case_8,BRAIN_TUMOR_TASK1,TASK1,MUL,probabilistic,0.8851116502783078,dice
case_8,BRAIN_TUMOR_TASK1,TASK1,MUL,probabilistic,0.030120390254176,ged
case_29,BRAIN_TUMOR_TASK1,TASK1,MUL,probabilistic,0.9270790158396752,dice
case_29,BRAIN_TUMOR_TASK1,TASK1,MUL,probabilistic,0.0520241003394271,ged
case_114,HEART,LUNGS,SIN,ensemble,0.9606570519300004,dice
case_114,HEART,LUNGS,SIN,ensemble,0.0555679948591688,ged
case_114,HEART,HEART,SIN,ensemble,0.9779162320634583,dice
case_114,HEART,HEART,SIN,ensemble,0.0255891351711123,ged
case_103,HEART,LUNGS,SIN,ensemble,0.9502161734186182,dice
case_103,HEART,LUNGS,SIN,ensemble,0.0473706171690906,ged
case_103,HEART,HEART,SIN,ensemble,0.973831806666634,dice
case_103,HEART,HEART,SIN,ensemble,0.0273867078110817,ged
case_101,HEART,LUNGS,SIN,ensemble,0.9652495852459312,dice
case_101,HEART,LUNGS,SIN,ensemble,0.0242843143101122,ged
case_101,HEART,HEART,SIN,ensemble,0.9754204498957902,dice
case_101,HEART,HEART,SIN,ensemble,0.0267828934433272,ged
case_2,HEART,LUNGS,SIN,ensemble,0.9616345611049976,dice
case_2,HEART,LUNGS,SIN,ensemble,0.0217058977380323,ged
case_2,HEART,HEART,SIN,ensemble,0.9631180380703585,dice
case_2,HEART,HEART,SIN,ensemble,0.0313231552385865,ged
case_61,HEART,LUNGS,SIN,ensemble,0.972535226740399,dice
case_61,HEART,LUNGS,SIN,ensemble,0.0142179954154846,ged
case_61,HEART,HEART,SIN,ensemble,0.9847209213500764,dice
case_61,HEART,HEART,SIN,ensemble,0.0139796583372181,ged
case_72,HEART,LUNGS,SIN,ensemble,0.969207087583534,dice
case_72,HEART,LUNGS,SIN,ensemble,0.0290299899898368,ged
case_72,HEART,HEART,SIN,ensemble,0.9833548323701786,dice
case_72,HEART,HEART,SIN,ensemble,0.0148580105780437,ged
case_30,HEART,LUNGS,SIN,ensemble,0.9739284704014812,dice
case_30,HEART,LUNGS,SIN,ensemble,0.026560536654153,ged
case_30,HEART,HEART,SIN,ensemble,0.9790604153101,dice
case_30,HEART,HEART,SIN,ensemble,0.0163564126859945,ged
case_15,HEART,LUNGS,SIN,ensemble,0.9616183944994908,dice
case_15,HEART,LUNGS,SIN,ensemble,0.0165949383413555,ged
case_15,HEART,HEART,SIN,ensemble,0.970133773931934,dice
case_15,HEART,HEART,SIN,ensemble,0.0321118434687858,ged
case_3,HEART,LUNGS,SIN,ensemble,0.9755092749180644,dice
case_3,HEART,LUNGS,SIN,ensemble,0.0155544805443384,ged
case_3,HEART,HEART,SIN,ensemble,0.9831533534435226,dice
case_3,HEART,HEART,SIN,ensemble,0.0162885262007813,ged
case_88,HEART,LUNGS,SIN,ensemble,0.9767353232914188,dice
case_88,HEART,LUNGS,SIN,ensemble,0.0261937161372334,ged
case_88,HEART,HEART,SIN,ensemble,0.9856670199796278,dice
case_88,HEART,HEART,SIN,ensemble,0.0104420735966699,ged
case_52,HEART,LUNGS,SIN,ensemble,0.945432191032091,dice
case_52,HEART,LUNGS,SIN,ensemble,0.0491345148136776,ged
case_52,HEART,HEART,SIN,ensemble,0.9173376343790384,dice
case_52,HEART,HEART,SIN,ensemble,0.0677028061748812,ged
case_21,HEART,LUNGS,SIN,ensemble,0.977110998740606,dice
case_21,HEART,LUNGS,SIN,ensemble,0.0091873837416826,ged
case_21,HEART,HEART,SIN,ensemble,0.9825686109517904,dice
case_21,HEART,HEART,SIN,ensemble,0.0108294762451151,ged
case_106,HEART,LUNGS,SIN,ensemble,0.9671470371624096,dice
case_106,HEART,LUNGS,SIN,ensemble,0.0291040243310502,ged
case_106,HEART,HEART,SIN,ensemble,0.980544635909061,dice
case_106,HEART,HEART,SIN,ensemble,0.0180745000828308,ged
case_83,HEART,LUNGS,SIN,ensemble,0.966872604335434,dice
case_83,HEART,LUNGS,SIN,ensemble,0.0347510514662635,ged
case_83,HEART,HEART,SIN,ensemble,0.9811918947280208,dice
case_83,HEART,HEART,SIN,ensemble,0.016370471927768,ged
case_53,HEART,LUNGS,SIN,ensemble,0.967787100416968,dice
case_53,HEART,LUNGS,SIN,ensemble,0.0193675303913208,ged
case_53,HEART,HEART,SIN,ensemble,0.9803915441171244,dice
case_53,HEART,HEART,SIN,ensemble,0.0180598493803168,ged
case_100,HEART,LUNGS,SIN,ensemble,0.9724302900669972,dice
case_100,HEART,LUNGS,SIN,ensemble,0.0277412225670126,ged
case_100,HEART,HEART,SIN,ensemble,0.9705258123408028,dice
case_100,HEART,HEART,SIN,ensemble,0.0332545695960526,ged
case_24,HEART,LUNGS,SIN,ensemble,0.9749845787622364,dice
case_24,HEART,LUNGS,SIN,ensemble,0.0168318172753442,ged
case_24,HEART,HEART,SIN,ensemble,0.9835409649420944,dice
case_24,HEART,HEART,SIN,ensemble,0.0096422856358133,ged
case_87,HEART,LUNGS,SIN,ensemble,0.9761758208309028,dice
case_87,HEART,LUNGS,SIN,ensemble,0.0150309152125347,ged
case_87,HEART,HEART,SIN,ensemble,0.984958163402057,dice
case_87,HEART,HEART,SIN,ensemble,0.0153586618259788,ged
case_107,HEART,LUNGS,SIN,ensemble,0.9569558436172324,dice
case_107,HEART,LUNGS,SIN,ensemble,0.0453328850430349,ged
case_107,HEART,HEART,SIN,ensemble,0.9797597702519398,dice
case_107,HEART,HEART,SIN,ensemble,0.0213989250386081,ged
case_22,HEART,LUNGS,SIN,ensemble,0.9684514681904488,dice
case_22,HEART,LUNGS,SIN,ensemble,0.0228143885663668,ged
case_22,HEART,HEART,SIN,ensemble,0.9755220926848068,dice
case_22,HEART,HEART,SIN,ensemble,0.0289239432085558,ged
case_75,HEART,LUNGS,SIN,ensemble,0.9771421551405072,dice
case_75,HEART,LUNGS,SIN,ensemble,0.0135128060262095,ged
case_75,HEART,HEART,SIN,ensemble,0.9836256252556994,dice
case_75,HEART,HEART,SIN,ensemble,0.0141461439760543,ged
case_38,HEART,LUNGS,SIN,ensemble,0.9502853736556988,dice
case_38,HEART,LUNGS,SIN,ensemble,0.0808466858217068,ged
case_38,HEART,HEART,SIN,ensemble,0.956990387711897,dice
case_38,HEART,HEART,SIN,ensemble,0.0478746810834239,ged
case_93,HEART,LUNGS,SIN,ensemble,0.9572336905727016,dice
case_93,HEART,LUNGS,SIN,ensemble,0.0820727504688726,ged
case_93,HEART,HEART,SIN,ensemble,0.9587815405339696,dice
case_93,HEART,HEART,SIN,ensemble,0.0638187725597957,ged
case_114,HEART,LUNGS,MUL,ensemble,0.9677609210797524,dice
case_114,HEART,LUNGS,MUL,ensemble,0.0307021894991208,ged
case_114,HEART,HEART,MUL,ensemble,0.98043525059165,dice
case_114,HEART,HEART,MUL,ensemble,0.0190694623962663,ged
case_103,HEART,LUNGS,MUL,ensemble,0.9597508517254644,dice
case_103,HEART,LUNGS,MUL,ensemble,0.0250749821119364,ged
case_103,HEART,HEART,MUL,ensemble,0.9758668326207354,dice
case_103,HEART,HEART,MUL,ensemble,0.0255277967949263,ged
case_101,HEART,LUNGS,MUL,ensemble,0.9660581066701286,dice
case_101,HEART,LUNGS,MUL,ensemble,0.0177525983453326,ged
case_101,HEART,HEART,MUL,ensemble,0.9758862832819512,dice
case_101,HEART,HEART,MUL,ensemble,0.0259985080207445,ged
case_2,HEART,LUNGS,MUL,ensemble,0.962194699386405,dice
case_2,HEART,LUNGS,MUL,ensemble,0.0220448974242784,ged
case_2,HEART,HEART,MUL,ensemble,0.964838578375678,dice
case_2,HEART,HEART,MUL,ensemble,0.0279547433074907,ged
case_61,HEART,LUNGS,MUL,ensemble,0.973157279671234,dice
case_61,HEART,LUNGS,MUL,ensemble,0.0134731995949264,ged
case_61,HEART,HEART,MUL,ensemble,0.983994086715334,dice
case_61,HEART,HEART,MUL,ensemble,0.0156299605120046,ged
case_72,HEART,LUNGS,MUL,ensemble,0.9689118234550066,dice
case_72,HEART,LUNGS,MUL,ensemble,0.0262412851129728,ged
case_72,HEART,HEART,MUL,ensemble,0.9834841374580774,dice
case_72,HEART,HEART,MUL,ensemble,0.0151433291177637,ged
case_30,HEART,LUNGS,MUL,ensemble,0.9698709820664126,dice
case_30,HEART,LUNGS,MUL,ensemble,0.0391581195292333,ged
case_30,HEART,HEART,MUL,ensemble,0.9802228165618736,dice
case_30,HEART,HEART,MUL,ensemble,0.0140790034363889,ged
case_15,HEART,LUNGS,MUL,ensemble,0.9629191227485628,dice
case_15,HEART,LUNGS,MUL,ensemble,0.0196448357788912,ged
case_15,HEART,HEART,MUL,ensemble,0.972519692544751,dice
case_15,HEART,HEART,MUL,ensemble,0.0264462890225921,ged
case_3,HEART,LUNGS,MUL,ensemble,0.9785075139100288,dice
case_3,HEART,LUNGS,MUL,ensemble,0.0051711042668381,ged
case_3,HEART,HEART,MUL,ensemble,0.984719974843244,dice
case_3,HEART,HEART,MUL,ensemble,0.0128966862455953,ged
case_88,HEART,LUNGS,MUL,ensemble,0.9806611916849516,dice
case_88,HEART,LUNGS,MUL,ensemble,0.0148311219770075,ged
case_88,HEART,HEART,MUL,ensemble,0.985620608365782,dice
case_88,HEART,HEART,MUL,ensemble,0.0113609494091072,ged
case_52,HEART,LUNGS,MUL,ensemble,0.9572342380621895,dice
case_52,HEART,LUNGS,MUL,ensemble,0.0296260305901884,ged
case_52,HEART,HEART,MUL,ensemble,0.9266039731589611,dice
case_52,HEART,HEART,MUL,ensemble,0.0462405618399404,ged
case_21,HEART,LUNGS,MUL,ensemble,0.9733889651324384,dice
case_21,HEART,LUNGS,MUL,ensemble,0.0159280333303713,ged
case_21,HEART,HEART,MUL,ensemble,0.9824730188207136,dice
case_21,HEART,HEART,MUL,ensemble,0.0111273436909017,ged
case_106,HEART,LUNGS,MUL,ensemble,0.9667052867662578,dice
case_106,HEART,LUNGS,MUL,ensemble,0.0308631102551955,ged
case_106,HEART,HEART,MUL,ensemble,0.9807725171203242,dice
case_106,HEART,HEART,MUL,ensemble,0.0193654370084583,ged
case_83,HEART,LUNGS,MUL,ensemble,0.964139955630073,dice
case_83,HEART,LUNGS,MUL,ensemble,0.0398858320871079,ged
case_83,HEART,HEART,MUL,ensemble,0.9805944013370924,dice
case_83,HEART,HEART,MUL,ensemble,0.0194332598655964,ged
case_53,HEART,LUNGS,MUL,ensemble,0.9699833216215624,dice
case_53,HEART,LUNGS,MUL,ensemble,0.0119495783802505,ged
case_53,HEART,HEART,MUL,ensemble,0.9808995229723956,dice
case_53,HEART,HEART,MUL,ensemble,0.0164748239367185,ged
case_100,HEART,LUNGS,MUL,ensemble,0.9741755177286398,dice
case_100,HEART,LUNGS,MUL,ensemble,0.0230290564905673,ged
case_100,HEART,HEART,MUL,ensemble,0.9729943685355712,dice
case_100,HEART,HEART,MUL,ensemble,0.0287677360464259,ged
case_24,HEART,LUNGS,MUL,ensemble,0.9703703886341488,dice
