epoch:  144 , training loss:  0.1019453846514225 , validation loss:  0.11022121250629426 , validation dice:  0.0 , this epoch took:  17.159923791885376 s
epoch:  145 , training loss:  0.10799424160271882 , validation loss:  0.10008799850940704 , validation dice:  0.0 , this epoch took:  17.957622289657593 s
epoch:  146 , training loss:  0.09702175237238407 , validation loss:  0.10637121081352234 , validation dice:  0.0 , this epoch took:  17.792393445968628 s
epoch:  147 , training loss:  0.10066739040613175 , validation loss:  0.10481964334845544 , validation dice:  0.0 , this epoch took:  17.664949893951416 s
epoch:  148 , training loss:  0.10245628733932972 , validation loss:  0.1047895222902298 , validation dice:  0.0 , this epoch took:  17.442089796066284 s
epoch:  149 , training loss:  0.10487871770560742 , validation loss:  0.10010263681411743 , validation dice:  0.0 , this epoch took:  17.439147233963013 s
epoch:  150 , training loss:  0.10277960287034511 , validation loss:  0.10110590547323227 , validation dice:  0.0 , this epoch took:  17.037734031677246 s
epoch:  151 , training loss:  0.10495821918547153 , validation loss:  0.10558990910649299 , validation dice:  0.0 , this epoch took:  17.41779899597168 s
epoch:  152 , training loss:  0.1027956031486392 , validation loss:  0.10030923590064049 , validation dice:  0.0 , this epoch took:  18.23445773124695 s
epoch:  153 , training loss:  0.09902454887330532 , validation loss:  0.09949440270662308 , validation dice:  0.0 , this epoch took:  17.52102279663086 s
epoch:  154 , training loss:  0.1005424286276102 , validation loss:  0.10582932621240616 , validation dice:  0.0 , this epoch took:  17.65940570831299 s
epoch:  155 , training loss:  0.10225775631517171 , validation loss:  0.10634853437542915 , validation dice:  0.0 , this epoch took:  16.85578966140747 s
epoch:  156 , training loss:  0.10938156363368035 , validation loss:  0.11318571358919144 , validation dice:  0.0 , this epoch took:  18.04691433906555 s
epoch:  157 , training loss:  0.10198730339109897 , validation loss:  0.10731063053011894 , validation dice:  0.0 , this epoch took:  18.437984704971313 s
epoch:  158 , training loss:  0.10653685500472784 , validation loss:  0.1045342443883419 , validation dice:  0.0 , this epoch took:  18.022422075271606 s
epoch:  159 , training loss:  0.10583053186535835 , validation loss:  0.10976942047476769 , validation dice:  0.0 , this epoch took:  17.945663690567017 s
epoch:  160 , training loss:  0.0991803764924407 , validation loss:  0.10788927882909775 , validation dice:  0.0 , this epoch took:  16.911465167999268 s
epoch:  161 , training loss:  0.11365820137411356 , validation loss:  0.10807554721832276 , validation dice:  0.0 , this epoch took:  17.09584093093872 s
epoch:  162 , training loss:  0.10708377519249916 , validation loss:  0.10024148091673851 , validation dice:  0.0 , this epoch took:  17.082909107208252 s
epoch:  163 , training loss:  0.10170088702440262 , validation loss:  0.1189549532532692 , validation dice:  0.0 , this epoch took:  16.550883054733276 s
epoch:  164 , training loss:  0.10775288809090852 , validation loss:  0.10294726997613907 , validation dice:  0.0 , this epoch took:  17.251592874526978 s
epoch:  165 , training loss:  0.1000455560311675 , validation loss:  0.10457063183188438 , validation dice:  0.0 , this epoch took:  17.04769992828369 s
epoch:  166 , training loss:  0.10231355619430542 , validation loss:  0.10361748680472374 , validation dice:  0.0 , this epoch took:  16.661445140838623 s
epoch:  167 , training loss:  0.10867610447108746 , validation loss:  0.10532293945550919 , validation dice:  0.0 , this epoch took:  16.745278120040894 s
epoch:  168 , training loss:  0.10351024839282036 , validation loss:  0.10002152144908905 , validation dice:  0.0 , this epoch took:  17.33627700805664 s
epoch:  169 , training loss:  0.1042801236063242 , validation loss:  0.11556592747569085 , validation dice:  0.0 , this epoch took:  16.74391222000122 s
epoch:  170 , training loss:  0.10283745369315148 , validation loss:  0.10257870450615883 , validation dice:  0.0 , this epoch took:  17.143954038619995 s
epoch:  171 , training loss:  0.09977860648930073 , validation loss:  0.10206138178706169 , validation dice:  0.0 , this epoch took:  16.80665111541748 s
epoch:  172 , training loss:  0.105956713154912 , validation loss:  0.10377935245633126 , validation dice:  0.0 , this epoch took:  16.413315773010254 s
epoch:  173 , training loss:  0.09871628719568253 , validation loss:  0.10559683114290237 , validation dice:  0.0 , this epoch took:  16.036591053009033 s
epoch:  174 , training loss:  0.10368414583802223 , validation loss:  0.11495493784546852 , validation dice:  0.0 , this epoch took:  16.817753076553345 s
epoch:  175 , training loss:  0.09984746357798577 , validation loss:  0.10212071776390076 , validation dice:  0.0 , this epoch took:  16.973396062850952 s
epoch:  176 , training loss:  0.10113725671172143 , validation loss:  0.10462137252092361 , validation dice:  0.0 , this epoch took:  15.743383646011353 s
epoch:  177 , training loss:  0.10638104102015496 , validation loss:  0.10070868000388146 , validation dice:  0.0 , this epoch took:  16.982208013534546 s
epoch:  178 , training loss:  0.10993672263622284 , validation loss:  0.11222702741622925 , validation dice:  0.0 , this epoch took:  16.440317630767822 s
epoch:  179 , training loss:  0.10687991430610419 , validation loss:  0.11008537784218789 , validation dice:  0.0 , this epoch took:  17.20466899871826 s
epoch:  180 , training loss:  0.10756604035198689 , validation loss:  0.10454239889979362 , validation dice:  0.0 , this epoch took:  17.238519191741943 s
epoch:  181 , training loss:  0.10176882979273796 , validation loss:  0.11190287217497825 , validation dice:  0.0 , this epoch took:  16.851888179779053 s
epoch:  182 , training loss:  0.10532300090789795 , validation loss:  0.10121911883354187 , validation dice:  0.0 , this epoch took:  16.698559761047363 s
epoch:  183 , training loss:  0.10617491830140352 , validation loss:  0.11116253137588501 , validation dice:  0.0 , this epoch took:  17.869205951690674 s
epoch:  184 , training loss:  0.10303522684425116 , validation loss:  0.1101172935962677 , validation dice:  0.0 , this epoch took:  18.01833701133728 s
epoch:  185 , training loss:  0.11119947504997253 , validation loss:  0.10424025312066078 , validation dice:  0.0 , this epoch took:  17.216267585754395 s
epoch:  186 , training loss:  0.09802907924354076 , validation loss:  0.10276170700788498 , validation dice:  0.0 , this epoch took:  17.76453185081482 s
epoch:  187 , training loss:  0.10719897217303515 , validation loss:  0.10859142273664474 , validation dice:  0.0 , this epoch took:  16.583555698394775 s
epoch:  188 , training loss:  0.10900926797091962 , validation loss:  0.10253424048423768 , validation dice:  0.0 , this epoch took:  16.74929928779602 s
epoch:  189 , training loss:  0.10125873962044715 , validation loss:  0.10684181094169616 , validation dice:  0.0 , this epoch took:  17.117082595825195 s
epoch:  190 , training loss:  0.1023188552185893 , validation loss:  0.10820920795202255 , validation dice:  0.0 , this epoch took:  17.32327938079834 s
epoch:  191 , training loss:  0.09826111929118633 , validation loss:  0.12226040005683898 , validation dice:  0.0 , this epoch took:  17.14332890510559 s
epoch:  192 , training loss:  0.1064269212037325 , validation loss:  0.10428478986024857 , validation dice:  0.0 , this epoch took:  16.86521553993225 s
epoch:  193 , training loss:  0.10521051761507988 , validation loss:  0.105022152364254 , validation dice:  0.0 , this epoch took:  16.793274402618408 s
epoch:  194 , training loss:  0.1037050855755806 , validation loss:  0.10735601842403412 , validation dice:  0.0 , this epoch took:  17.062651872634888 s
epoch:  195 , training loss:  0.1023353907763958 , validation loss:  0.10808149695396424 , validation dice:  0.0 , this epoch took:  17.667962789535522 s
epoch:  196 , training loss:  0.10598041696846486 , validation loss:  0.10640417546033859 , validation dice:  0.0 , this epoch took:  18.228373289108276 s
epoch:  197 , training loss:  0.10344181544333696 , validation loss:  0.10680042952299118 , validation dice:  0.0 , this epoch took:  17.957213878631592 s
epoch:  198 , training loss:  0.10479998570680618 , validation loss:  0.1123761235177517 , validation dice:  0.0 , this epoch took:  16.44080686569214 s
epoch:  199 , training loss:  0.10726275482773781 , validation loss:  0.10022631585597992 , validation dice:  0.0 , this epoch took:  17.162873029708862 s
epoch:  200 , training loss:  0.10283678422868252 , validation loss:  0.09809957772493362 , validation dice:  0.0 , this epoch took:  16.651124477386475 s
epoch:  201 , training loss:  0.10174425561726093 , validation loss:  0.10919823467731476 , validation dice:  0.0 , this epoch took:  16.676923274993896 s
epoch:  202 , training loss:  0.09870890954136849 , validation loss:  0.100640849173069 , validation dice:  0.0 , this epoch took:  16.33418369293213 s
epoch:  203 , training loss:  0.10402856662869453 , validation loss:  0.109687370210886 , validation dice:  0.0 , this epoch took:  17.07369303703308 s
epoch:  204 , training loss:  0.0994147782549262 , validation loss:  0.10946168288588524 , validation dice:  0.0 , this epoch took:  16.817133903503418 s
epoch:  205 , training loss:  0.10812480168044566 , validation loss:  0.11546309024095536 , validation dice:  0.0 , this epoch took:  16.758967399597168 s
epoch:  206 , training loss:  0.10318372310698032 , validation loss:  0.10293770149350166 , validation dice:  0.0 , this epoch took:  17.168495893478394 s
